,Sentiment
0,neutral
1,negative
2,positive
3,negative
4,negative
5,negative
6,neutral
7,negative
8,positive
9,positive
10,positive
11,negative
12,negative
13,negative
14,negative
15,negative
16,negative
17,positive
18,negative
19,negative
20,negative
21,positive
22,neutral
23,neutral
24,neutral
25,negative
26,negative
27,negative
28,negative
29,negative
30,negative
31,negative
32,negative
33,negative
34,negative
35,negative
36,negative
37,neutral
38,negative
39,positive
40,negative
41,negative
42,negative
43,neutral
44,negative
45,neutral
46,negative
47,negative
48,negative
49,negative
50,negative
51,negative
52,neutral
53,negative
54,negative
55,negative
56,neutral
57,positive
58,negative
59,negative
60,neutral
61,neutral
62,neutral
63,neutral
64,negative
65,positive
66,positive
67,negative
68,positive
69,neutral
70,negative
71,negative
72,negative
73,negative
74,negative
75,neutral
76,negative
77,negative
78,neutral
79,negative
80,negative
81,negative
82,negative
83,positive
84,negative
85,negative
86,negative
87,positive
88,negative
89,negative
90,negative
91,negative
92,negative
93,negative
94,negative
95,negative
96,negative
97,negative
98,negative
99,negative
100,negative
101,negative
102,negative
103,negative
104,negative
105,negative
106,negative
107,negative
108,negative
109,positive
110,positive
111,neutral
112,negative
113,negative
114,positive
115,negative
116,positive
117,negative
118,negative
119,neutral
120,negative
121,positive
122,negative
123,neutral
124,neutral
125,negative
126,negative
127,positive
128,negative
129,negative
130,negative
131,negative
132,positive
133,neutral
134,negative
135,negative
136,negative
137,neutral
138,negative
139,negative
140,negative
141,negative
142,negative
143,negative
144,negative
145,negative
146,negative
147,negative
148,positive
149,negative
150,negative
151,negative
152,negative
153,neutral
154,negative
155,positive
156,neutral
157,positive
158,positive
159,negative
160,positive
161,negative
162,negative
163,positive
164,negative
165,neutral
166,negative
167,negative
168,negative
169,negative
170,neutral
171,neutral
172,negative
173,negative
174,neutral
175,negative
176,negative
177,neutral
178,negative
179,negative
180,positive
181,negative
