,text,Sentiment
0,di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke elo. basic kamu cowok bego !,neutral
1,siapa yang telat memberi tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga ,negative
2,"kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali. kadang aku merasa tuhan itu meninggalkan aku sendirian. ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter",positive
3,aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku ,negative
4,kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha ,negative
5,ya bani taplak dan kawan kawan ,negative
6,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,neutral
7,gue baru saja selesai re watch aldnoah zero! paling kampret memang endingnya! 2 karakter utama cowoknya kena friendzone bray! xd uniform resource locator,negative
8,"nah admin belanja satu lagi po terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kau kaw. ? doket mana itu ? gerai rozak meuaku taipan 2 depan kembar baby amp romantika bank islam senawang ?",positive
9,enak lagi kalau sambil ngewe ,positive
10,"setidaknya gue punya jari tengah buat lu, sebelum gue ukur nyali sama bacot kamu ",positive
11,"banci kaleng malu tidak bisa jawab peanyaan kami dari 2 hari lalu, nyungsep koe uniform resource locator",negative
12,"kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh, ironi ",negative
13,"aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi, nyata",negative
14,bu guru enakan jadi jablay atau guru sekolah dasar sih. kayaknya menikmati jadi pecun ini guru. ,negative
15,"lawan bicara gue tidak intelek kayak loe, yang otak tidak punya. tentang kencing onta, gue mengakui hadis nabi dan itu sahih. kafir kayak kamu pasti menolak, makanya kamu ahlunnar. ",negative
16,belakangan ini kok pikiran ampas banget ya ,negative
17,ari sama beki adalah rapi monyet ,positive
18,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci ! ,negative
19,alga mnr bom ,negative
20,"anjing ya tapi gue jarang ngambek, takut wkwk gue kan bucin. ",negative
21,kalau kamu noob pasti peluang disakiti nya lebih gede sih ,positive
22,"joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak",neutral
23,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,neutral
24,bandara udara internasional keajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat. insya allah siap beroperasi bulan depan,neutral
25,"siapapun gubernur dan presidennya, rakyatnya, ya kita juga,",negative
26,ini sih kerjaannya delay mulu! setan! ,negative
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,negative
28,partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,negative
29,itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus ,negative
30,"islam nusantara produk jil, dipasarkan dengan gencar oleh antek jil. sementara jil anti arab, tapi pro aseng! kata almarhum kh. hasyim muzadi,",negative
31,dari habis sahur sampai jam si bayi sudah nete 4x. sekarang rasanya lemas tak terkira ,negative
32,tidak kak emak adalah tidak suka sama yang sipit wkwk ,negative
33,"kelakuan homo jaman now, ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator",negative
34,"tidak kak, gue bukan orang jawa maaf ya gue orang palembang soalnya, kakak saja deh yang belajar aksara jawa. atau kelak mau belajar budaya palembang?",negative
35,pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari ,negative
36,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat! sanji selamat ulang tahun pelaut jkt48 ,negative
37,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri ,neutral
38,presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,negative
39,edan memang tujuannya fabiano! ,positive
40,tidak pernah mendalami al alquran ya bang? pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law ,negative
41,"sangat terlihat beda sekali kewibawaannya , yang sangat berwibawa cuma gubernur indonesia masya allah,",negative
42,anjir baru kali ini lihat orang bego mau debat pilkada. kerjanya menyerang karakter. kecewa on kamu empok silvy and agus. debat final pemilihan kepala daerah jakarta,negative
43,"gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, ? tutur djarot di hadapan pesea rakercabsu ? ",neutral
44,"apa iya islam itu tidak boleh dilokalisasi? lah kristen saja mas ada nusantaranya mas, lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa, ada huria kristen batak protestan juga kurang nusantara apa? ",negative
45,"ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018, kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat",neutral
46,positif kok. se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor uniform resource locator,negative
47,"kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu. istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal , sama dengan salat menyembah all",negative
48,"kamu pendidikan tinggi tapi bodoh,gk ada larang bawa agama,biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila",negative
49,"ahok the best ,abaikan kaum kampret otak micin , ",negative
50,", sih otak tempurung adalah tidak usah di ladenin. semakin di lawan semakin belum dan dungu. dan kalau tidak begitu dia tidak makan. hehe ",negative
51,"awaasss, jangan sampai beritanya sampai ke saudara gerung! nanti susah mencari kosakatany. kalau bocor saja memicing mata, bibir monyong kesamping, suara keluar ky lagi nhn kentut, politik kotor sekali zaman ini! . kalau tahu b ini, pulang sambil ky nhn ngeden, dungu! . ",negative
52,pinokio umur 3 tahunan tuh. 2019 ganti presiden,neutral
53,"cerita silat lae semacam kho merah muda oh yang dari indonesia, tapi liang ie shen penulis dari cina ",negative
54,benci sekali dengan umat islam,negative
55,"provokasi mayat, politisasi agama penyebab kekalahan pilihan kepala daerah dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya. for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas",negative
56,dari pada gue nete ,neutral
57,wkwk bani lowo ,positive
58,"takabur bisa lahir dari siapa saja. penguasa, rakyat, ulama maupun cendikia. bahkan iblis makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takabburnya. apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi",negative
59,"a orang yang suka ke konser konser, sedikit boros.",negative
60,sampai kapan makan racun ? banyak ulama yang mengatakan hukum rokok mubah dan ada juga ? ,neutral
61,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat . no 1 bisa ! bagus khofifah emil nomor satu,neutral
62,"sudah biasa kali. gue penggemar korea pop tapi kalau mengomong sama teman teman gue, idol gue banci homo ",neutral
63,saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong ,neutral
64,"budaya kafir bersungguh, kalau hal hal islam tidak diendahkan,",negative
65,"lah lah la,hm hem semua diam ,semua bisu kita coba tanya sama rumput yang bergoyang ",positive
66,"apabila setan membisikkan was was kepadamu, mintalah perlindungan kepada allah. qs. al a raf 200 dan fussilat 36 . ",positive
67,"kalau kamu atheis,ngapain sibuk dengan agama orang,",negative
68,lengserkan jokowi bangsat!,positive
69,selamat hari kaini 2019 ganti presiden 2019 presiden baru,neutral
70,bajingan homo! hati hati terhadap anak anak kita terutama di kamar mandi laki2jgn biarkan sendiri! uniform resource locator ,negative
71,iya cocot ,negative
72,karena budaya indonesia.,negative
73,yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam ,negative
74,x kamu berbicara saja tidak benar bangkai ,negative
75,kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja,neutral
76,"tapi masih menikmati kebijakan yang dulu diusulkan pki, lah iya opo,",negative
77,kalau seumpama orang cina di usir paksa dari indonesia bagaimana,negative
78,bunda ngentot yuk ,neutral
79,"cina babi, cina maling, usir cina hypertext transfer protocol over secure socket layer t.co 9y4hiwhjp2",negative
80,"bung karno anti asing dan beliau dari jawa, coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya. kalau kami keliru kami tutup akun ",negative
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,negative
82,"wajar saja, lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara ",negative
83,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,positive
84,terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap,negative
85,suka menutup mata. tidak ditutup pun sudah terlihat teutup gara gara sipit ? ,negative
86,"saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an, karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam, tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum",negative
87,eh kasar kamu kampang ,positive
88,bentar lagi gue rilis album the onta si wkwk ,negative
89,ada cebong bang dia merasa paling benar ,negative
90,najis banget gue mentwit apa barusan he ,negative
91,kamu transgender atau bagaimana anjing uniform resource locator,negative
92,awas bintitan kamu mengintip titit kucing ,negative
93,"bawel, baper, bolot, baik, bodor , enggak jelas wkwk apa ya sudah itu saja deh ",negative
94,"gue menyarankan tidak perlu banyak bacot maling ayat, langsung to the point saja kamu jadi orang, yang tidak sepaham kamu teriaki saja kafir sesat, liberal, pemuja dukun, bla blaaa, pasti hatimu puas deh , ",negative
95,"jangan salah target bukan ahok, agenda utama lengserkan jokowi ,",negative
96,masa baru kena tagar saja sudah kepanasan ? ingin tahu banget 2019 ganti presiden,negative
97,"maju kamu sini duit tapi kamu goyang kaki tak buat pape , mana lah duit nak maju kat kamu bodoh uniform resource locator",negative
98,"huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda,dl tidak ada yang namanya kristen protestan yang ada cuma kristen khatolik. terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pama kali di tarutung. nah sekarang anda saya k",negative
99,"apa , apa , banyak baca biar pintar , jepang, amerika, china, utang sama siapa , anda tau tidak ,?",negative
100,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,negative
101,dan yang takut dengan azan adalah iblis ,negative
102,yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus. propaganda nasi bungkus memang selalu gagal. ,negative
103,"wuih, cebong sewot, ",negative
104,gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,negative
105,padahal gubernur saat ini djarot. mayoritas paai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot. payah ya mereka uniform resource locator,negative
106,"rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu aja, komisi pemberantasan korupsi alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya ",negative
107,"saat orang orang saling menuding antek aseng, asing sesungguhnya beepuk tangan. ",negative
108,nah lah katanya anti asing ,negative
109,"selamat pak semoga bisa terus berkiprah, bahkan tingkat nasional.",positive
110,asyik menang saya sih ikut ulama saja,positive
111,yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan. termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu. dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,neutral
112,"anak pecun, tidak jauh jauh dari hobi zina, haha ",negative
113,aku bom surat berharga syariah negara ,negative
114,"istirahat saja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003",positive
115,"pada 1979, house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission. hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya. ",negative
116,"tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres, acara tahunan negara indonesia untuk memilih presiden. semoga senantiasa berjalan aman dan lancar. amin.",positive
117,ian pantat ,negative
118,"mengakuinya orang pintar dan beragama, memangnya agama mana yang memperbolehkan menista dan menghujat orang lain?. jangankan orang bodoh, orang yang maaf sejak lahir idiot sekalipun dia, kita harus hargai sebagai sesama ciptaan tuhan. ingat iblis itu juga pintar dan sangat licik! ",negative
119,"pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018,yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham? 2019 ganti presiden !",neutral
120,sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,negative
121,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lohh?! dan gue merasa jadi anak yang berengsek saja begitu ke laki laki ,positive
122,cina perusak bangsa! usir ! stuju?,negative
123,2019 ganti presiden secara konstitusional hak setiap rakyat woiii! . begini nih kalau plonga plongo tapi kelakuan otoriter.,neutral
124,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai. . . coki adem86 98heru ? ,neutral
125,"mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara,knp tidak ada kristen nusantara,budha,hindu bahkan kong hucu nusantara? ",negative
126,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,negative
127,cowok yang jago drasex mana? sini ngentot sama adik luvian ,positive
128,"kroasia itu kafir tauuu,ngapain belajar sama kapir,udh lupa sama kapling sorga? ",negative
129,lah bukan nya menteri suhao ada yang homo? ,negative
130,gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk ,negative
131,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam ,negative
132,"kejar setoran memang cukup bangsad, mana rupiah turun ",positive
133,"semoga ini ada tindak lanjutnya! pelaporan terhadap ?penista agama? adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh. shobri lubis ke badan reserse kriminal markas besar polri, gambir, jakaa pusat pada selasa 10 4 pukul 13.00 wib. perhaps ",neutral
134,"bangke, hajar! ",negative
135,. onta mati kalau kebanyakan minum ,negative
136,uniform resource locator ahok tng mereka terus was was hidupnya ,negative
137,"itu baru di sul teng, ! ini ekses akibat tersandera hutang cina ! 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti",neutral
138,"pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity. harga diri yang tinggi dapat mengubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri ",negative
139,"aku beanya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku beanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan. dan aku mulai menjadi terasing dan asing di mata manusia. tak apa duhai diri, ada",negative
140,"tak hanya kurang beaji nya komisi pemberantasan korupsi era ini,tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak sby,",negative
141,admin tolol di paai tolol paai tolol untuk orang tolol ,negative
142,"ayu ting ting goyang hot dekat raffi ahmad, nagita slavina kampungan, norak uniform resource locator",negative
143,video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di ,negative
144,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,negative
145,"random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih, istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen. ",negative
146,kok gue kampret ,negative
147,memek lonte ingin disodok kontol gede ,negative
148,jokowi saja yang mundur. tutup. uniform resource locator,positive
149,"berbicara apa itu.mulut kok sepei banci,beli kaca dulu lihat dirimu,. bro ",negative
150,"ada amin rasis. ada amat dani ada ratna sih paiiit. ada sih onta. ada sih lobang anus. jadi jangan takut oi wo, kehabisan obat penenang yh. ",negative
