,text,label
0,"pilgub kemarin banyak boong nya , hasil nya dimanipulasi",negative
1,"hti , wahabi , pks , fpi ikut2an menyerbu kiai said , seru itu .",negative
2,"malas makan oreo , suka bikin gigi hitam",negative
3,lagi asik menonton di bioskop ada iklan pemerintah ternyata benar juga ya . kenapa sih harus seperti itu perasaan dahulu zaman nya pak sby tidak begini begini amat menghilangkan kinerja nya tidak sampai ke bioskop . jadi kesel banget jadi nya lagi asyik-asyik ada iklan yang tidak guna .,negative
4,adeh . di mana letak muka nya itu orang . tidak bisa kerja ya jangan sok mau jadi gubernur .,negative
5,"meskipun saya berasal dari pekanbaru tapi jika bicara tentang masakan padang tetap lebih enak di sana daripada masakan padang di jakarta . kebanyakan masakan padang di sini sudah dimodifikasi dengan lidah masyarakat di sini . jadi , meskipun di dekat kantor ada rumah makan padang yang rasanya lumayan , tetap tidak bisa puaskan rasa rindu dengan cita rasa asli padang kok agak berlebihan ya ? hehehe",negative
6,jokowi dungu memang anjing biadab . warga yang ingin menyampaikan aspirasi dengan berdemo pun dibungkam . pki keparat lu jok,negative
7,tangkap fadli zon sudah jelas-jelas provokator sana - sini,negative
8,sate kambing nya empuk tapi kecil-kecil . sesuai dengan harga nya yang cukup murah . tempat nya kotor dan lantai nya lengket .,negative
9,"ayo kita bersatu , ganyang kepala batu , apa anda setuju ahok harus dibunuh ?",negative
10,mahasiswa goblok mah ngomong saja blepotan begitu ! orang pinter mah tidak banyak omong langsung melakukan tindakan ! memalukan almamater kuning saja,negative
11,orang bisu kesurupan menyusahkan,negative
12,"kalau mau melihat macam-macam muka setan , ada itu di kantor dpr haha",negative
13,semua yang diomongin sama pak rocky itu tidak berdasar . heran ya kok bisa jadi professor .,negative
14,saya kecewa dengan sikap pemerintah yang hanya memikirkan kebutuhan sendiri .,negative
15,dari segi rasa tidak jauh berbeda dengan batagor sejenis lainnya . mungkin karena sudah punya nama yang cukup terkenal jadi harga nya pun ikut menyesuaikan walaupun porsi nya tidak ikut menyesuaikan . buat kami mungkin bukan jadi pilihan utama untuk makan di sini .,negative
16,"aku cupu , tidak asik , upay , garing , egois , serba negatif , aku mah apa dong .",negative
17,"gorengan basi dihidangkan , selera murahan",negative
18,ini wakil gubernur nya ngomong nya plin plan begitu . yakin masih bisa memimpin jakarta ?,negative
19,di akhir jabata nya pertumbuhan nyungsep sampai di bawah 5 % . itulah yang di wariskan . berhutang untuk konsumtif . dan rezim sekarang yang menanggung sri mulyani mentri say saja bicara kalau pembangunan untuk mengejar keterlambatan,negative
20,"bacot syarif . bacot nya orang kafir . apa yang kau andalkan . goblok , bacot lu aja yang kencang . mental tai kucing",negative
21,sudah cukup saya kecewa dengan pelayanan hotel ini,negative
22,"tizi s merupakan salah satu restoran langganan keluarga saya . tapi sudah lama saya sendiri tidak pernah makan di sini . dulu sekali , ketika saya masih sering makan di sini , hidangan favorit saya adalah shashlik . karena itu , ketika kemarin saya berkunjung ke sini , saya pun memesan orderan yang sama . sayang ketika pesanan saya datang , rasanya tidak sesuai seperti ingatan saya . daging nya sangat melihat .",negative
23,"maaf , bung hatta tidak pernah dan tidak suka memakan isu bohong seperti prabowo",negative
24,untuk warga jawa tengah muslim mari kita rapatkan barisan dan jangan terpancing suara kita terpecah . ingat partai ini . partai ini pernah mengatakan mereka tidak takut kalau mereka kehilangan pemilih muslim .,negative
25,"si tito karnavin larang anggota nya buat dokumentasikan hasil penghitungan suara , kurang bodoh apa , itu , dia , ampun deh .",negative
26,"wah sama seperti saya ini mas barusan , paket freedom l saya belum habis tapi sudah dibebankan tarif internet perlu sampai pulsa sekitar 40 ribu saya disedot perampok",negative
27,pendukung pak jokowi sudah bosan dengan para penyebar kebohongan cukup 3 0 rang inisial rs sudah sangat memalukan dunia,negative
28,produk yang dikeluarkan dari lazada bikin saya tidak suka belanja online,negative
29,yang teroris itu pdip papua,negative
30,"wajar gua ngomel semalam , kan gua cemburu melihat lu pernah foto sama kami lecis",negative
31,itu prabowo gila kekuasaan banget ya .,negative
32,"sangat kecewa ibu kota negara seperti pasar kaget kumuh , kotor , tidak manusiawi sebagai kota megapolitan ! halo ,, ku molo",negative
33,parah pesan bukalapak pakai gosend kemarin sampai sekarang belum sampai bagaimana ini . barang nya butuh sekali,negative
34,"kalau sudah gila , ya sudah , tak bisa lagi dihukum , tak bisa lagi diadili , walau sudah separah apapun . nama nya orang gila , ya tak bisa lagi dinasihati dan diingatkan",negative
35,jaringan diperbaiki dong parah banget soal nya,negative
36,"sudah lama banget pengin ke sini sama pasangan atau teman-teman ramuan sebenarnya , belum lagi dengar-dengar cerita dari teman tempat ini nyaman dan enak dijadikan tempat buat nongkrong apalagi buat anak muda . pas dapat off kerja , langsung deh ke sini bareng pacar , kita pesan cappucino , lemon tea , sama 1 loyang meat lovers pizza . no one of them adalah rekomendasi , atau even delicious !",negative
37,tidak sudi,negative
38,kristen agama sesat dan menyesatkan umat titik !,negative
39,"lawang wangi terletak di dago atas , di sana pemandangan nya bagus dan juga indah , akan tetapi antrian terlalu banyak sehingga orang tidak bisa mengunjungi dan mencoba makanan nya .",negative
40,"top naik ovo dari hari senin , tidak masuk sampai sekarang , sudah email sudah telepon pusat panggilan tidak ada perkembangan . gimana dong ? penanganan super lambat dan tidak membuahkan hasil . saya sangat kecewa percuma banyak promo kalau penanganan sistem kayak gini",negative
41,eh minimal gua mau tanya nih . kalian orang sunda keturunan binatang ya ? kan nenek moyang orang sunda sangkuriang seekor anjing ? jadi pantas saja kalau kelakuan kalian seperti binatanglah nenek moyang kalian orang sunda seekor anjing,negative
42,"shalom ! ada yang sudah pernah bertemu muhammad atu allah swt dalam mimpi ? kalau kristian bertemu jesus sudah ada ya saya sendiri . ateis , buddha , hindu , bahkan islam semua pernah dijamah jesus bila buka hati . di youtube banyak . tapi saya tidak pernah dengar ada manusia dijamah muhammad atau allah . banyak orang itu mualaf karena mau kawin atau poligami . tapi mau murtad takut .",negative
43,seminggu yang lalu saya pergi ke salah satu pantai yang ada di banten . suasana pantai sangat tidak nyaman . terlalu banyak orang yang membuang sampah sembarang . menyedihkan .,negative
44,entahlah sebenarnya makanan yang disajikan biasa saja dan variasi nya pun sedikit . memang sangat terkenal namun biasa saja rasa makanan nya dan harga untuk seporsi batagor cukuplah mahal,negative
45,besok gua mau marah-marah saja di galeri indosat sekalian,negative
46,"enak ya dapat gaji gede , fasilitas mewah . itu uang rakyat kau kuras semua ?",negative
47,"istri nya itu sudah muak , melihat muka babi ahog saja ingin muntah . mana pernah juga vero mengunjungi kandang babi ahog",negative
48,"halo bapak-bapak goblok , muka nya biasa saja dong enggak usah diseram - seremin . selama gua keliling jawa sampai bali juga luar jawa , gua enggak pernah bermasalah dengan penduduk setempat . arti nya gua baik-baik saja . bahkan saat gua di phillipina , thailand juga australi . apalagi hanya dengan tampang yang pura-pura di seram - seramkan macam kalian . basi tahu .",negative
49,"restauran kafe betawi yang berada di trans stusio mal ini perlu diaudit baik manajemen dan restoran nya , jelas kafe ini menyajikan makanan dengan menipu . saya pesan paket nasi ulam karena tertarik dengan gambar display yang ada di buku menu , tapi ketika makanan datang ke meja saya sangat mengecewakan sajian seperti untuk makanan kucing . !!! sangat berbeda jelas saya merasa tertipu , sajian lauk berbeda dengan gambar .",negative
50,"banyak kafe di dago atas yang sudah di datangi , kali ini mencoba kafe lawangwangi , dulu cuma galery karena saya sering datang untuk melihat pameran seni . tempat cukup oke , tetapi masih banyak tempat di dago atas yang jauh lebih oke dari ini . kami pesan steak grill chicken dan chicken schnitzel , kurang enak dan hambar .",negative
51,anak sekarang sulit untuk dinasehati,negative
52,jujur benci sekali dengan orang yang record scene film dibioskop ya allah selain spoiler lo juga norak by the way,negative
53,salah pak . alasan melulu . kalau memang mau ketemu mah bisa pakai helikopter kali . memang situ nya saja yang sengaja dan tidak punya niat ketemu sama umat .,negative
54,urus pt kiani kertas saja tidak becus . bayar utang karyawan sampai lo hutang wow . sampai sekarang mandek .,negative
55,indosat kebangetan dah bulan puasa bikin pelanggan marah apa salah nya pelanggan woy indosat isi paket kuota saja tidak bisa eror terus,negative
56,sarapan untuk makanan ringan dan berat tersedia . sayang ada beberapa tempat duduk nya terbuat dari besi sehingga kalau lagi cuaca dingin jadi tidak nyaman untuk duduk,negative
57,"indonesia sakit nya itu mental , kalau sudah jatuh susah bangkit",negative
58,gue mau spam indosat bodoamat gue mau marah,negative
59,terawangan saya . gerindra tidak akan menang karena memang tidak pantas menang .,negative
60,"jadi pki hadir bersama ormas islam radikal seperti fpi dan hti kan ?! sudah bakar saja ormas islam wahabbi bekingan saudi , musnahkan !",negative
61,awas jangan suka bilang ndeso nanti ketularan kaesang jelek,negative
62,"ini bagaimana cerita nya indihome seharian los lalu , kan percuma bayar mahal kalau kayak gini",negative
63,ratakan saja bali dengan tanah,negative
64,"pelayanan nya parah . sangat mengecewakan waktu itu saya dan keluarga datang memang pada saat ramai , kita langsung bertanya pada staf untuk mencarikan tempat . tetapi hanya disuruh jalan ke arah saung mencari sendiri tapi pas kami menemukan tempat malah disuruh ke tempat lain dengan alasan sudah reserved padahal tidak ada tulisan apa pun di meja nya . setelah itu kami malah dibiarkan berdiri .",negative
65,perjalanan malam ini sungguh melelahkan di daerah perumahan silandak,negative
66,"buang saja pak , uu kok bikin kebal sendiri . kalau fh nyinyir biarkan saja .",negative
67,itu orang sekolah tinggi-tinggi tapi tidak punya otak ya .,negative
68,mau nya setelah dimundurin dengan menuduh pihak lain bu risma mau terima jadi cawagub . eh ternyata ditolak dengan beliau ... ! haha,negative
69,"tepat subuh hari ini kami ke warung ini jelas ingin mendapatkan dan mencoba serabi khas ini , dari awal pelayanan lumayan baik , tapi karena keadaan yang ramai sedikit sulit mendapatkan tempat , akhirnya tunggu tidak sampai 15 minimal kami mendapatkan tempat , tetapi ternyata setelah menunggu lama pesanan kami belum datang juga , kira satu jam an kami duduk di sana dengan keadaan asap rokok yang banyak .",negative
70,"saya sudah kecewa dari awal pilpres 2014 , kami berharap waktu itu demokrat ikut memenangkan prabowo , tapi kenyataan nya sangat mengecewakan dengan sikap abu-abu nya , termasuk juga di pilkada jakarta kemarin , demokrat terkesan memaksakan ahy , jadi politik dinasti kesan nya .",negative
71,gue iri nan dengki gituloh menyaksikan dua insan memadu kasih,negative
72,ini asli nya bahan nya jelek sekali aku menyesal beli,negative
73,"sebelumnya kami melakukan reservasi karena kita berkunjung hari sabtu , kita datang terlalu pagi . restoran masih b r s-s tapi kita dipersilakan untuk foto-foto atau sekadar jalan-jalan , tempat nya oke . bersih . dan nyaman , sport buat foto banyak , tapi saya merasa akang yang melayani nya kurang ramah dan sumringah . tapi gara-gara muka akang yang melayani kurang sumringah jadi mengurangi penilaian saya sebagai pengunjung .",negative
74,"yang merasa cemburu , mohon tahu diri . anda bukan siapa-siapa .",negative
75,kesal saya melihat manusia satu ini,negative
76,"fadli zon , amin rais dan gerindra adalah orang yang ingin menghancurkan indonesia ini lebih bahaya dari teroris . tangkap !",negative
77,muka kayak cepot . di medan sudah ku matikan anak itu,negative
78,rugi banget sudah berlangganan indihome sangat tidak untung,negative
79,kadang tidak suka ada teman yang mengirim jelekin prabowo sandi .,negative
80,selama iblis binatang ini jadi kapolri jangan berharap ada keadilan terhadap islam dia ini pki berkedok islam .,negative
81,saya mensen dari tanggal 31 oktober kok tidak ada respon ? payah .,negative
82,"auto mual , mie nya kelembekan , molor nya hancur , cuek",negative
83,ahok pembohong,negative
84,"shadaqta . di sanalah habib dan fpi mengambil peran . penanam padi banyak , pembasmi hama kurang , maka dari itu sering dimusuhi wereng coklat sampai predator omnivora tinggi risk tidak return tepat sekali tapi allahlah sebaik2 pemberi balasan barakallah fikus ustaz",negative
85,"lihat partai-partai ini , sengaja mencari cara untuk mencela presiden demi menggolkan jago nya . sama seperti saat ramai-ramai mencela menggunakan insiden kartu kuning zaadit , yang kemudian terbukti zaadit yang kurang berpikir dan cengeng tidak mau pergi meninjau . partai yang hanya mencari sensasi bukan prestasi .",negative
86,jokowi adalah satu-satunya presiden yang tidak dihormati dan tidak disegani oleh partai pendukung nya sendiri .,negative
87,ada-ada saja tingkah anggota dpr yang membuat kita tidak nyaman . aneh sekali karena mereka bisa ditangkap polisi bersama-sama . jadi selama ini uang negara mereka nikmati sendiri . kecewa .,negative
88,itu kanker banget sih buat gue . gue enggak ngerti pertimbangan zaskia gotik dijadikan duta pancasila apa,negative
89,bongkar saja pak jangan mau dipenjara sendirian,negative
90,"cuma orang goblok dan sok gaul , yang beranggapan kalau orang bicara pakai bahasa sunda itu kampungan .",negative
91,bek ui . aku mau berak di mulut mu . dasar lem ui anjing bodoh,negative
92,orang-orang yang sulit sukses itu selalu tidak menghormati diri nya sendiri,negative
93,"itu maksud nya total 920 km , hasil dari pemerintahan sekarang ? ayolah pak jangan suka klaim sana sini , jangan suka menghilangkan sejarah bangsa . sejarah pribadi bolehlah bapak hilangkan . saya tidak yakin itu semua hanya karena bapak .",negative
94,orang yang pakai koteka itu kayak gembel,negative
95,bosan dan melihat membaca alasan rakyat malaysia yang enggan menulis dan membaca dalam bahasa malaysia .,negative
96,"produk salah kirim , produk jelek . gila gue mau nangis aja",negative
97,"penista agama itu , yang doyan sara etnis ya , yang ingin khilafah ya , yang diam saja ulama mesum dan sebagai nya dan sebagai nya",negative
98,"iri aku itu melihat yang kaya gini , nanti kalau wisuda tidak bisa begini .",negative
99,"iya sih mi sedap isi nya lebih banyak , tapi soal rasa kalah jauh sama yang lain",negative
100,mau marah-marah ke indosat rasanya .,negative
101,pokok nya lambang salib di-mana itu adalah kristenisasi massal dan merupakan konspirasi barat dan yahudi . mari musnahkan !,negative
102,"saya pernah ke lokasi yang di progo , memesan pizza dan kurang empuk untuk bagian roti nya , pokok nya kurang , deh . tapi kalau minuman nya , sih , enak-enak saja . lalu saya coba yang di jalan sumatra , pelayanan nya kurang memuaskan , saya menunggu hampir satu setengah jam sampai makanan dihidangkan , entah salah paham atau bagaimana . makanan yang dipesan pun ternyata porsi nya tidak begitu puas .",negative
103,"hei toya goblok kristen itu sudah ada 600 tahun , baru lahir si muhammad arti nya umat kristen itu sudah punya tuhan , yaitu tuhan yesus kristus sebelum ada wujud alquran atau islam . jadi si muhammad itu dan kawan-kawan nya salah menjiplak alkitab sesudah ratusan tahun dan asal comot-comot saja ayat-ayat nya dari alkitab ke alquran .",negative
104,"diawal-awal kuliah di bandung , beberapa kali teman saya mengajak untuk mencicipi makanan di sini baik disengaja ataupun karena ada peristiwa kelas seperti bukber dan lain sebagai nya dan beberapa kali juga mencoba ke sini , tidak ada perubahan . mulai dari rasa makanan yang masih sangat biasa saja , pelayanan yang masih kurang ramah dan sigap , serta fasilitas seperti toilet yang masih kurang bersih .",negative
105,"kemarin seharian di kota tua . aku sedih . jorok kotor ! ini orang jakarta bagaimana . mau marahin kok bisa tekanan darah tinggi . malas motret . kalian datang saja minggu siang / sore . depan kertanaga , depan alfa / indonesia maut ? bagaimana cara nya ya . malu dengan wisatawan asing / peserta asian games",negative
106,tidak lucu,negative
107,peristiwa tahun ini lebih melelahkan daripada sebelumnya,negative
108,pelayanan bagian kartu kredit bca galaxy payah sekali . not direkomendasikan saudara-saudara .,negative
109,baru sampai . lama sekali pengiriman ya,negative
110,"waktu itu saya coba steak nya saya tidak menyangka bakal seperti begini rasanya , benar-benar tidak sesuai sama pemandangan dan resto nya , jauh banget , jujur saja menurut saya steak nya tidak enak .",negative
111,"lawan-lawan politik pak , dah kehabisan bahan untuk menyerang pemerintahan nya . penegak hukum yang di salahkan . shrus nya kan koruptor nya yang brengsek .",negative
112,maaf pol cuma berani dengan ahok . dengan brizik sudah tak sudah dipanggil 3 kali tidak hadir sudah jadi dpo kok tidak berani ciduk . 243 juta rakyat ind dukung jokahok . tuntaskan sara ceng dan yang bayarin demonstrasi-demonstrasi fpi untuk fitnah amp ; provokasi sara jokahok . korban fitnah buni fpi mui byrn say wo2 ht penulis,negative
113,aku mau cemburu juga sapu nya hak,negative
114,pakai indosat tidak untung sama sekali,negative
115,fpi sampah masyarakat lebih baik dibersihkan .,negative
116,cebong memang cetek otak nya kelamaan berendem sih .,negative
117,"ujung-ujung nya jika datang ke sby buat minta dukungan , memang dia lemah , sih .",negative
118,"bpjskesehatanri sebenarnya punya banyak karyawan busuk , hanya saja pegawai yang lain tidak melaporkan langsung ke pusat , dan atasan karyawan busuk itu tidak menindaklanjuti keluhan karyawan lain .",negative
119,aku iri dengki dan segala teman nya ketika melihat orang lain bisa beli sang pisang di kota nya . tetapi di semarang hanya ada markobar,negative
120,"kecewa rasanya dengan pelayanan yang diberikan hotel holiday inn . saat saya menginap di hotel itu , saya mendapat perlakuan kurang mengenakkan dari pelayan yang ada . ditambah lagi dengan kamar mandi yang tidak ada tisu nya . padahal harga nya lumayan mahal . tapi tidak sesuai dengan pelayanan yang diberikan .",negative
121,"gue kasih tahu ya buat teruntuk orang sumatera , kalimantan . kita itu orang ras melayu . seharusnya bergabung sama malaysia , jijik gue kita satu negara dengan jawa sunda , udik norak kampungan tidak beradab , jijik ras melayu punya presiden jokowi pki",negative
122,"agama islam itu pantas nya dihina , bukan disembah tolol amat sih jadi orang . kalian itu diciptakan punya otak kok kalian semua umat islam tidak bisa mikir sih . bodo kok dipelihara",negative
123,tidak terpesona,negative
124,"tapi , gue makin benci sama justin ! dia makin songong ! berasa dia paling keren ! aduh poko nya tidak suka deh . dan dia jailkan gue melulu !",negative
125,barang telah diterima tapi packing nya tidak rapi .,negative
126,apbd jakarta 260juta untuk semprot kecoa . kenapa tidak dibuat untuk antisipasi banjir ya ? normalisasi sungai seperti . kasihan jakarta 58 terendam . kejam banget sih pemerintah,negative
